date,Open,High,Low,Close,Return (%),Security
25/09/2012,79.400002,80.010002,79.050003,79.940002,0.68,DXY
02/10/2012,80,80.150002,79.099998,79.339996,-0.83,DXY
09/10/2012,79.389999,80.209999,79.32,79.690002,0.38,DXY
16/10/2012,79.709999,79.970001,78.940002,79.639999,-0.09,DXY
23/10/2012,79.620003,80.269997,79.470001,80.07,0.56,DXY
30/10/2012,79.919998,80.610001,79.669998,80.589996,0.83,DXY
06/11/2012,80.629997,81.089996,80.279999,81.029999,0.49,DXY
13/11/2012,81,81.459999,80.900002,81.260002,0.32,DXY
20/11/2012,81.160004,81.269997,80.129997,80.190002,-1.21,DXY
27/11/2012,80.260002,80.589996,80.019997,80.150002,-0.14,DXY
04/12/2012,80.18,80.660004,79.57,80.419998,0.3,DXY
11/12/2012,80.489998,80.660004,79.5,79.599998,-1.12,DXY
18/12/2012,79.629997,79.699997,79.010002,79.620003,-0.01,DXY
25/12/2012,79.620003,79.93,79.360001,79.68,0.08,DXY
01/01/2013,79.620003,80.870003,79.279999,80.5,1.09,DXY
08/01/2013,80.510002,80.870003,79.440002,79.559998,-1.19,DXY
15/01/2013,79.529999,80.190002,79.349998,80.050003,0.65,DXY
22/01/2013,80.059998,80.150002,79.68,79.75,-0.39,DXY
29/01/2013,79.790001,79.93,78.919998,79.129997,-0.83,DXY
05/02/2013,79.190002,80.279999,78.919998,80.25,1.32,DXY
12/02/2013,80.209999,80.620003,79.839996,80.580002,0.46,DXY
19/02/2013,80.639999,81.589996,80.269997,81.480003,1.03,DXY
26/02/2013,81.620003,82.510002,81.07,82.309998,0.84,DXY
05/03/2013,82.300003,82.919998,81.900002,82.699997,0.48,DXY
12/03/2013,82.809998,83.169998,82.050003,82.260002,-0.67,DXY
19/03/2013,82.790001,83.099998,82.290001,82.529999,-0.32,DXY
26/03/2013,82.449997,83.300003,82.150002,82.989998,0.65,DXY
02/04/2013,83.040001,83.489998,82.269997,82.5,-0.65,DXY
