date,Percent Change,Security 
11/12/2013,3.80,US10Y
11/19/2013,-0.42,US10Y
11/26/2013,1.92,US10Y
12/03/2013,0.53,US10Y
12/10/2013,2.94,US10Y
12/17/2013,0.70,US10Y
12/24/2013,1.95,US10Y
12/31/2013,2.82,US10Y
01/07/2014,-0.83,US10Y
01/14/2014,-2.39,US10Y
01/21/2014,-1.83,US10Y
01/28/2014,-2.46,US10Y
02/04/2014,-4.51,US10Y
02/11/2014,1.95,US10Y
02/18/2014,1.09,US10Y
02/25/2014,-0.49,US10Y
03/04/2014,-2.85,US10Y
03/11/2014,3.92,US10Y
03/18/2014,-2.75,US10Y
03/25/2014,2.91,US10Y
04/01/2014,-1.30,US10Y
04/08/2014,0.95,US10Y
04/15/2014,-3.49,US10Y
04/22/2014,2.03,US10Y
04/29/2014,-0.44,US10Y
05/06/2014,-2.59,US10Y
05/13/2014,-0.15,US10Y
05/20/2014,-3.81,US10Y
05/27/2014,0.63,US10Y
06/03/2014,-1.50,US10Y
06/10/2014,4.40,US10Y
06/17/2014,0.31,US10Y
06/24/2014,0.00,US10Y
07/01/2014,-2.67,US10Y
07/08/2014,2.94,US10Y
07/15/2014,-2.78,US10Y
07/22/2014,-2.12,US10Y
07/29/2014,-0.32,US10Y
08/05/2014,1.77,US10Y
08/12/2014,-3.24,US10Y
08/19/2014,-2.45,US10Y
08/26/2014,0.50,US10Y
09/02/2014,-1.41,US10Y
09/09/2014,3.80,US10Y
09/16/2014,4.88,US10Y
09/23/2014,0.39,US10Y
09/30/2014,-2.32,US10Y
10/07/2014,-4.35,US10Y
10/14/2014,-4.86,US10Y
10/21/2014,-4.71,US10Y
10/28/2014,3.92,US10Y
11/04/2014,2.81,US10Y
11/11/2014,0.79,US10Y
11/18/2014,-0.95,US10Y
11/25/2014,-1.03,US10Y
12/02/2014,-3.71,US10Y
12/09/2014,1.61,US10Y
12/16/2014,-5.91,US10Y
12/23/2014,2.81,US10Y
12/30/2014,1.96,US10Y
01/06/2015,-7.16,US10Y
01/13/2015,-5.54,US10Y
01/20/2015,-7.14,US10Y
01/27/2015,1.54,US10Y
02/03/2015,-6.39,US10Y
02/10/2015,10.52,US10Y
02/17/2015,6.56,US10Y
02/24/2015,1.69,US10Y
03/03/2015,-1.64,US10Y
03/10/2015,6.08,US10Y
03/17/2015,-2.87,US10Y
03/24/2015,-8.19,US10Y
03/31/2015,1.56,US10Y
04/07/2015,-3.47,US10Y
04/14/2015,2.54,US10Y
04/21/2015,-1.96,US10Y
04/28/2015,3.37,US10Y
05/05/2015,7.74,US10Y
05/12/2015,5.39,US10Y
05/19/2015,-0.09,US10Y
05/26/2015,-1.26,US10Y
06/02/2015,-1.36,US10Y
06/09/2015,9.77,US10Y
06/16/2015,0.42,US10Y
06/23/2015,-2.01,US10Y
06/30/2015,1.96,US10Y
07/07/2015,-1.67,US10Y
07/14/2015,0.51,US10Y
07/21/2015,-0.17,US10Y
07/28/2015,-3.56,US10Y
08/04/2015,-1.85,US10Y
08/11/2015,-0.72,US10Y
08/18/2015,-1.71,US10Y
08/25/2015,-4.59,US10Y
09/01/2015,5.20,US10Y
09/08/2015,-0.39,US10Y
09/15/2015,1.95,US10Y
09/22/2015,-1.08,US10Y
09/29/2015,-3.37,US10Y
10/06/2015,-3.68,US10Y
10/13/2015,2.50,US10Y
10/20/2015,-2.72,US10Y
10/27/2015,0.98,US10Y
11/03/2015,5.73,US10Y
11/10/2015,5.97,US10Y
11/17/2015,-1.13,US10Y
11/24/2015,-1.23,US10Y
12/01/2015,-2.20,US10Y
12/08/2015,2.25,US10Y
12/15/2015,-1.42,US10Y
12/22/2015,0.63,US10Y
12/29/2015,1.61,US10Y
01/05/2016,-0.11,US10Y
01/12/2016,-5.09,US10Y
01/19/2016,-3.93,US10Y
01/26/2016,-1.91,US10Y
02/02/2016,-3.35,US10Y
02/09/2016,-7.14,US10Y
02/16/2016,-5.77,US10Y
02/23/2016,2.97,US10Y
