date,US10Y Percent Change
09/04/1990,-0.06988
16/04/1990,0.67016
23/04/1990,2.87699
30/04/1990,1.68805
07/05/1990,-0.57548
14/05/1990,-2.51558
21/05/1990,-0.63942
28/05/1990,-0.65502
04/06/1990,-1.07577
11/06/1990,-1.00561
18/06/1990,-0.25986
25/06/1990,1.06585
02/07/1990,-0.60933
09/07/1990,-0.08253
16/07/1990,0.36578
23/07/1990,-0.28215
30/07/1990,-0.33011
06/08/1990,-0.1656
13/08/1990,3.31754
20/08/1990,0.16055
27/08/1990,2.3586
03/09/1990,-0.72707
10/09/1990,-0.25915
17/09/1990,-0.04519
24/09/1990,1.08499
01/10/1990,-0.5814
08/10/1990,-2.38417
15/10/1990,2.02765
22/10/1990,-1.73893
29/10/1990,-0.57458
05/11/1990,-0.62413
12/11/1990,-0.67458
19/11/1990,-2.22482
26/11/1990,-0.80838
03/12/1990,-0.07848
10/12/1990,-2.0058
17/12/1990,-1.60296
24/12/1990,1.12782
31/12/1990,0.61958
07/01/1991,-1.32389
14/01/1991,2.34009
21/01/1991,-0.79268
28/01/1991,-1.09404
04/02/1991,-0.82028
11/02/1991,-2.23058
18/02/1991,-0.21789
25/02/1991,1.06615
04/03/1991,2.18607
11/03/1991,0.62189
18/03/1991,-0.17305
25/03/1991,1.21347
01/04/1991,-1.1194
08/04/1991,-0.897
15/04/1991,0.24969
22/04/1991,0.09963
29/04/1991,0.47275
06/05/1991,-0.71818
13/05/1991,0.54877
20/05/1991,0.645
27/05/1991,-0.41903
03/06/1991,-0.09901
10/06/1991,1.93261
17/06/1991,1.06952
24/06/1991,0.0481
01/07/1991,-0.28846
08/07/1991,0.07835
15/07/1991,0.04216
22/07/1991,-0.21671
29/07/1991,-0.69981
05/08/1991,-1.06926
12/08/1991,-2.21076
19/08/1991,-1.4318
26/08/1991,-0.15291
02/09/1991,-0.23609
09/09/1991,-0.37736
16/09/1991,-1.30971
23/09/1991,-1.19698
30/09/1991,-0.81643
07/10/1991,-1.27456
14/10/1991,0.8943
21/10/1991,0.25991
28/10/1991,1.94097
04/11/1991,-2.34742
11/11/1991,-0.14022
18/11/1991,-1.59813
25/11/1991,0.65235
02/12/1991,-0.28355
09/12/1991,-2.12593
16/12/1991,-0.24903
23/12/1991,-1.99723
30/12/1991,-3.37532
06/01/1992,-0.54925
13/01/1992,0.41237
20/01/1992,3.76943
27/01/1992,1.22968
03/02/1992,1.61966
10/02/1992,-0.76944
17/02/1992,1.56466
24/02/1992,1.48603
02/03/1992,-1.20903
09/03/1992,1.3598
16/03/1992,1.85135
23/03/1992,0.28978
30/03/1992,-0.94563
06/04/1992,-1.08724
13/04/1992,-1.07239
20/04/1992,0.81301
27/04/1992,1.85484
04/05/1992,0.07918
11/05/1992,-1.58228
18/05/1992,-1.92926
25/05/1992,-0.30738
01/06/1992,1.34978
08/06/1992,-0.89237
15/06/1992,-0.191
22/06/1992,-1.20284
29/06/1992,-0.77476
06/07/1992,-2.15421
13/07/1992,-1.41788
20/07/1992,-0.14455
27/07/1992,-1.91083
03/08/1992,-1.53483
10/08/1992,-0.95923
17/08/1992,-1.27119
24/08/1992,0
31/08/1992,2.08461
07/09/1992,-2.25225
14/09/1992,-2.91859
21/09/1992,1.39241
28/09/1992,0.81149
05/10/1992,-2.56966
12/10/1992,2.04163
19/10/1992,2.26547
26/10/1992,3.71498
02/11/1992,-0.38168
09/11/1992,1.97465
16/11/1992,-0.93931
23/11/1992,-0.3647
30/11/1992,0.80527
07/12/1992,-0.07262
14/12/1992,-1.48256
21/12/1992,-0.14754
28/12/1992,-1.22636
04/01/1993,-0.26178
11/01/1993,0.36745
18/01/1993,-0.32875
25/01/1993,-1.49925
01/02/1993,-2.00913
08/02/1993,-0.62131
15/02/1993,-0.24226
22/02/1993,-2.76537
01/03/1993,-3.54496
08/03/1993,-1.73739
15/03/1993,2.41414
22/03/1993,-0.66401
29/03/1993,0.23396
05/04/1993,1.36712
12/04/1993,-1.15132
19/04/1993,-1.93012
26/04/1993,-0.2036
03/05/1993,2.17613
10/05/1993,-1.66389
17/05/1993,1.42132
24/05/1993,2.33567
31/05/1993,0.09782
07/06/1993,-1.17264
14/06/1993,-0.56032
21/06/1993,-1.42526
28/06/1993,-1.34499
05/07/1993,-1.37185
12/07/1993,-0.16415
19/07/1993,-0.86535
26/07/1993,2.51397
02/08/1993,-0.1703
09/08/1993,-0.23883
16/08/1993,-1.70999
23/08/1993,-1.73974
30/08/1993,-3.00992
06/09/1993,-1.28697
13/09/1993,-2.50578
20/09/1993,2.16237
27/09/1993,0.48273
04/10/1993,-1.29342
11/10/1993,-0.36503
18/10/1993,-1.43729
25/10/1993,2.05871
01/11/1993,1.86776
08/11/1993,4.21709
15/11/1993,-0.11436
22/11/1993,1.3122
29/11/1993,0.83449
06/12/1993,-0.06897
13/12/1993,-1.27674
20/12/1993,1.81755
27/12/1993,-1.17576
03/01/1994,0.84238
10/01/1994,-0.13779
17/01/1994,-1.86271
24/01/1994,0.80844
31/01/1994,-0.06974
07/02/1994,2.05862
14/02/1994,1.26496
21/02/1994,0.6921
28/02/1994,3.13495
07/03/1994,2.82835
14/03/1994,1.80209
21/03/1994,0.34161
28/03/1994,1.20706
04/04/1994,4.81651
11/04/1994,1.00656
18/04/1994,0.75101
25/04/1994,-0.08601
02/05/1994,0.60976
09/05/1994,3.30125
16/05/1994,1.10436
23/05/1994,-3.79574
30/05/1994,1.19217
06/06/1994,-1.12202
13/06/1994,-0.73759
20/06/1994,1.37182
27/06/1994,1.07133
04/07/1994,1.74338
11/07/1994,0.94585
18/07/1994,-0.76046
25/07/1994,-0.84839
01/08/1994,-0.19321
08/08/1994,-0.77434
15/08/1994,1.89521
22/08/1994,-0.98468
29/08/1994,0.19337
