date,DXY Return (%),US10Y Percent Change
27/10/2009,0.3,1.87
03/11/2009,-1.65,-0.69
10/11/2009,-0.16,2.14
17/11/2009,0.24,-4.38
24/11/2009,-0.28,-0.97
01/12/2009,1.19,-3.19
08/12/2009,0.77,4.96
15/12/2009,2.21,3.64
22/12/2009,-0.53,2.61
29/12/2009,-0.13,5.33
05/01/2010,-0.68,0.07
12/01/2010,0.42,0.17
19/01/2010,1.13,-2.00
26/01/2010,1.34,-2.71
02/02/2010,1.34,0.49
09/02/2010,0.02,-0.49
16/02/2010,0.24,1.48
23/02/2010,0.19,1.62
02/03/2010,-0.29,-3.30
09/03/2010,-0.22,0.99
16/03/2010,0.5,0.98
23/03/2010,0.88,-0.81
30/03/2010,-0.33,5.33
06/04/2010,-0.65,1.60
13/04/2010,0.55,-1.37
20/04/2010,0.59,-1.18
27/04/2010,0.97,-1.20
04/05/2010,2.3,-1.85
11/05/2010,2.44,-5.54
18/05/2010,0,-0.97
25/05/2010,0.44,-6.78
01/06/2010,2.09,1.34
08/06/2010,-2.14,-0.90
15/06/2010,-0.67,0.49
22/06/2010,-0.33,-1.28
29/06/2010,-1.21,-4.64
06/07/2010,-0.48,-3.63
13/07/2010,-2.01,3.30
20/07/2010,-0.51,-2.22
27/07/2010,-1.4,-0.07
03/08/2010,-0.28,-0.40
10/08/2010,2.25,-3.35
17/08/2010,0.71,-7.42
24/08/2010,0.05,-3.14
31/08/2010,-1.35,-1.78
07/09/2010,-0.16,3.66
14/09/2010,-0.7,3.68
21/09/2010,-2.46,-0.51
28/09/2010,-1.12,-6.11
05/10/2010,-1.29,-1.33
12/10/2010,-0.66,-3.99
19/10/2010,0.22,4.16
26/10/2010,0.26,2.70
02/11/2010,-0.35,3.33
09/11/2010,1.93,-1.95
16/11/2010,0.2,6.68
23/11/2010,2.75,1.90
30/11/2010,-1.57,0.51
07/12/2010,-0.36,5.57
14/12/2010,1.7,9.79
21/12/2010,-0.32,2.71
28/12/2010,-1.54,-0.01
04/01/2011,2.21,-1.69
11/01/2011,-1.9,1.31
18/01/2011,-1.63,-0.71
25/01/2011,-0.4,1.25
01/02/2011,0.37,0.41
08/02/2011,0.74,6.30
15/02/2011,-1.17,0.05
22/02/2011,-1.03,-2.24
01/03/2011,-0.51,-3.44
08/03/2011,-0.2,2.33
15/03/2011,-1.24,-3.75
22/03/2011,0.97,-3.01
29/03/2011,-0.29,4.75
05/04/2011,-1.12,0.81
12/04/2011,0.59,2.82
19/04/2011,-2,-3.48
26/04/2011,-1.41,-1.42
03/05/2011,2.45,-1.97
10/05/2011,0.98,-3.73
17/05/2011,0.83,-1.00
24/05/2011,-1.5,-0.69
31/05/2011,-1.35,-2.22
07/06/2011,0.76,-2.53
14/06/2011,0.7,0.53
21/06/2011,0.48,-1.86
28/06/2011,-1.47,0.07
05/07/2011,2.3,7.12
12/07/2011,-0.67,-4.38
19/07/2011,-1.88,-3.23
26/07/2011,0.27,2.11
02/08/2011,0.71,-5.07
09/08/2011,-1.27,-13.69
16/08/2011,0.31,-8.30
23/08/2011,-0.47,-6.21
30/08/2011,1.99,5.77
06/09/2011,3.17,-6.31
13/09/2011,-0.23,-5.30
20/09/2011,1.25,2.02
27/09/2011,1.39,-7.61
04/10/2011,-2.33,2.14
11/10/2011,-0.59,7.46
18/10/2011,-1.45,7.77
25/10/2011,0.2,-0.54
01/11/2011,1.04,1.55
08/11/2011,0.78,-7.61
15/11/2011,0.95,-1.41
22/11/2011,1.26,-2.80
29/11/2011,-0.86,-1.04
06/12/2011,1.22,5.85
13/12/2011,0.85,-2.80
20/12/2011,-0.3,-6.06
27/12/2011,0.2,5.71
03/01/2012,1.1,-3.75
10/01/2012,0.47,3.69
17/01/2012,-2.14,-4.43
24/01/2012,-0.67,6.42
31/01/2012,-0.09,-5.42
07/02/2012,-0.19,0.31
14/02/2012,0.49,3.01
21/02/2012,-0.97,0.55
28/02/2012,0.97,-1.35
06/03/2012,0.69,1.22
13/03/2012,-0.53,2.71
20/03/2012,-0.65,13.98
27/03/2012,-0.14,-3.00
03/04/2012,1.15,-1.50
10/04/2012,-0.23,-5.03
17/04/2012,-0.16,-3.78
24/04/2012,-0.79,-2.46
01/05/2012,1.03,-0.50
08/05/2012,1.26,-2.53
15/05/2012,0.6,-5.09
22/05/2012,1.63,-4.70
29/05/2012,0.18,0.32
05/06/2012,-0.05,-10.84
12/06/2012,-0.69,5.78
19/06/2012,0.63,-1.94
26/06/2012,-0.72,2.23
03/07/2012,1.58,-0.97
10/07/2012,-0.08,-4.49
17/07/2012,0.75,-2.85
24/07/2012,-1.1,-1.71
31/07/2012,-0.63,0.54
07/08/2012,0.21,5.60
14/08/2012,0.02,6.06
21/08/2012,-0.97,7.86
28/08/2012,-0.5,-7.73
04/09/2012,-1.1,-3.56
11/09/2012,-1.68,3.32
18/09/2012,0.65,8.88
25/09/2012,0.38,-2.98
02/10/2012,-0.35,-6.48
09/10/2012,0.25,3.74
16/10/2012,-0.11,0.26
23/10/2012,0.53,6.31
30/10/2012,0.85,-1.37
06/11/2012,0.36,-2.84
13/11/2012,-0.21,-6.82
20/11/2012,-0.77,-1.29
27/11/2012,-0.46,4.27
04/12/2012,0.56,-2.90
11/12/2012,-0.95,0.00
18/12/2012,0.09,8.37
25/12/2012,0.16,2.13
01/01/2013,0.61,-2.36
08/01/2013,-0.96,8.49
15/01/2013,0.7,-0.95
22/01/2013,-0.34,-1.11
29/01/2013,-0.29,4.56
05/02/2013,0.96,3.90
12/02/2013,0.34,-1.38
19/02/2013,1.35,1.23
26/02/2013,0.67,-3.68
05/03/2013,0.43,-3.08
12/03/2013,0.15,7.10
19/03/2013,0.22,-1.38
26/03/2013,-0.17,-2.81
02/04/2013,0.02,-3.51
09/04/2013,-0.4,-5.13
16/04/2013,0.32,0.11
23/04/2013,-0.64,-2.70
30/04/2013,0.21,-0.81
07/05/2013,1.14,1.75
14/05/2013,0.66,7.80
21/05/2013,-0.13,2.87
28/05/2013,-1.22,6.13
04/06/2013,-1.25,4.17
11/06/2013,-1.32,0.75
18/06/2013,2.31,1.86
25/06/2013,0.67,13.31
02/07/2013,1.47,0.88
09/07/2013,-1.38,5.16
16/07/2013,-0.99,-1.19
23/07/2013,-0.68,-3.22
30/07/2013,0.27,3.41
06/08/2013,-0.67,2.07
13/08/2013,-0.12,-1.73
20/08/2013,0.17,7.19
27/08/2013,0.88,0.57
03/09/2013,-0.37,-0.98
10/09/2013,-0.66,5.14
17/09/2013,-0.98,-1.29
24/09/2013,-0.29,-6.21
01/10/2013,-0.35,-2.65
08/10/2013,0.4,-0.08
15/10/2013,-0.72,2.50
22/10/2013,-0.54,-3.54
29/10/2013,1.64,-3.29
05/11/2013,0.67,3.56
12/11/2013,-0.32,3.80
19/11/2013,0.11,-0.42
26/11/2013,-0.01,1.92
03/12/2013,-0.96,0.53
10/12/2013,-0.07,2.94
17/12/2013,0.47,0.70
24/12/2013,-0.56,1.95
31/12/2013,0.81,2.82
07/01/2014,-0.17,-0.83
14/01/2014,0.93,-2.39
21/01/2014,-0.94,-1.83
28/01/2014,0.63,-2.46
04/02/2014,-0.42,-4.51
11/02/2014,-0.67,1.95
18/02/2014,0.1,1.09
25/02/2014,-0.17,-0.49
04/03/2014,-0.4,-2.85
11/03/2014,-0.45,3.92
18/03/2014,0.68,-2.75
25/03/2014,0.21,2.91
01/04/2014,0.15,-1.30
08/04/2014,-0.61,0.95
15/04/2014,0.28,-3.49
22/04/2014,-0.34,2.03
29/04/2014,-0.24,-0.44
06/05/2014,0.52,-2.59
13/05/2014,0.11,-0.15
20/05/2014,0.5,-3.81
27/05/2014,0.31,0.63
03/06/2014,0.01,-1.50
10/06/2014,-0.22,4.40
17/06/2014,-0.26,0.31
24/06/2014,-0.6,0.00
01/07/2014,0.55,-2.67
08/07/2014,-0.04,2.94
15/07/2014,0.46,-2.78
22/07/2014,0.58,-2.12
29/07/2014,0.37,-0.32
05/08/2014,0.17,1.77
12/08/2014,0.14,-3.24
19/08/2014,1.19,-2.45
26/08/2014,0.24,0.50
02/09/2014,1.79,-1.41
09/09/2014,0.04,3.80
16/09/2014,0.49,4.88
23/09/2014,1.09,0.39
30/09/2014,0.14,-2.32
07/10/2014,-0.33,-4.35
14/10/2014,-0.56,-4.86
21/10/2014,0.65,-4.71
28/10/2014,2.12,3.92
04/11/2014,0.57,2.81
11/11/2014,0.14,0.79
18/11/2014,0.25,-0.95
25/11/2014,-0.23,-1.03
02/12/2014,1.24,-3.71
09/12/2014,-0.65,1.61
16/12/2014,1.48,-5.91
23/12/2014,0.47,2.81
30/12/2014,1.32,1.96
06/01/2015,0.66,-7.16
13/01/2015,0.59,-5.54
20/01/2015,2.46,-7.14
27/01/2015,-0.32,1.54
03/02/2015,-0.05,-6.39
10/02/2015,-0.12,10.52
17/02/2015,0.24,6.56
24/02/2015,0.94,1.69
03/03/2015,2.23,-1.64
10/03/2015,2.06,6.08
17/03/2015,-2.58,-2.87
24/03/2015,0.98,-8.19
31/03/2015,-0.89,1.56
07/04/2015,2.45,-3.47
14/04/2015,-1.56,2.54
21/04/2015,-1.19,-1.96
28/04/2015,-1.33,3.37
05/05/2015,-0.49,7.74
12/05/2015,-0.86,5.39
19/05/2015,2.35,-0.09
26/05/2015,1.03,-1.26
02/06/2015,-2.15,-1.36
09/06/2015,-0.51,9.77
16/06/2015,-0.51,0.42
23/06/2015,0.49,-2.01
30/06/2015,1.59,1.96
07/07/2015,0.58,-1.67
14/07/2015,1.21,0.51
21/07/2015,-1.56,-0.17
28/07/2015,1.03,-3.56
04/08/2015,-0.34,-1.85
11/08/2015,-0.35,-0.72
18/08/2015,-3.63,-1.71
25/08/2015,2.83,-4.59
01/09/2015,0.2,5.20
08/09/2015,-0.93,-0.39
15/09/2015,0.67,1.95
22/09/2015,0.15,-1.08
29/09/2015,0.08,-3.37
06/10/2015,-1.32,-3.68
13/10/2015,0.13,2.50
20/10/2015,2,-2.72
27/10/2015,0.07,0.98
03/11/2015,2.11,5.73
10/11/2015,0.46,5.97
17/11/2015,0.36,-1.13
24/11/2015,0.37,-1.23
01/12/2015,-1.51,-2.20
08/12/2015,-1.07,2.25
15/12/2015,0.88,-1.42
22/12/2015,-0.55,0.63
29/12/2015,0.97,1.61
05/01/2016,-0.14,-0.11
12/01/2016,0.4,-5.09
19/01/2016,0.24,-3.93
26/01/2016,-0.36,-1.91
02/02/2016,-2.45,-3.35
09/02/2016,-0.61,-7.14
16/02/2016,1.46,-5.77
23/02/2016,0.85,2.97
01/03/2016,-1.16,-0.45
08/03/2016,-0.46,5.69
15/03/2016,-1.38,4.95
22/03/2016,0.68,-1.64
29/03/2016,-1.49,-2.37
05/04/2016,-0.59,-4.83
12/04/2016,0.57,-2.36
19/04/2016,0.37,2.30
26/04/2016,-2.33,6.40
03/05/2016,1.64,-2.53
10/05/2016,0.45,-3.79
17/05/2016,0.7,-2.03
24/05/2016,0.3,6.55
31/05/2016,-1.7,-0.35
07/06/2016,0.5,-4.52
14/06/2016,-0.81,-6.24
21/06/2016,3.13,-1.21
28/06/2016,-1.13,-3.06
05/07/2016,1.17,-8.14
12/07/2016,-0.01,-2.27
19/07/2016,0.76,9.14
26/07/2016,-1.62,1.55
02/08/2016,0.72,-4.06
09/08/2016,-0.8,3.04
16/08/2016,-1.16,-1.16
