date,Open,High,Low,Close,Percentage Return
11/01/1994,96.449997,97.019997,96.190002,96.830002,0.41
18/01/1994,96.690002,96.889999,95.889999,96.540001,-0.30
25/01/1994,96.639999,96.75,95.150002,95.589996,-0.98
01/02/1994,95.459999,96.900002,95.129997,96.639999,1.10
08/02/1994,96.559998,97.099998,94.739998,94.910004,-1.79
15/02/1994,94.940002,95.550003,94.580002,94.599998,-0.33
22/02/1994,95.5,95.879997,94.339996,94.550003,-0.05
01/03/1994,94.610001,95.419998,94.120003,95.230003,0.72
08/03/1994,95.199997,95.220001,93.519997,94.230003,-1.05
15/03/1994,94.269997,94.910004,93.769997,94.419998,0.20
22/03/1994,94.410004,94.550003,93.269997,93.489998,-0.98
29/03/1994,93.410004,94.599998,92.860001,94.32,0.89
05/04/1994,94.410004,95.330002,94.220001,94.709999,0.41
12/04/1994,94.720001,95.260002,94.529999,94.639999,-0.07
19/04/1994,94.599998,94.769997,93.5,93.599998,-1.10
26/04/1994,93.660004,93.809998,91.709999,92.059998,-1.65
03/05/1994,92.07,93.389999,91.510002,92.470001,0.45
10/05/1994,92.519997,93.75,92.5,93.419998,1.03
17/05/1994,93.43,93.470001,92.089996,92.239998,-1.26
24/05/1994,92.330002,92.830002,92.209999,92.32,0.09
31/05/1994,92.419998,93.580002,92.25,93.389999,1.16
07/06/1994,93.309998,93.470001,92.059998,92.169998,-1.31
14/06/1994,92.139999,92.339996,90.400002,90.449997,-1.87
21/06/1994,90.480003,90.779999,89.139999,89.599998,-0.94
28/06/1994,89.639999,90.559998,89.089996,90.010002,0.46
05/07/1994,90.040001,90.209999,87.080002,87.309998,-3.00
12/07/1994,87.279999,88.580002,86.650002,88.129997,0.94
19/07/1994,88.199997,90.349998,88.160004,89.839996,1.94
26/07/1994,89.769997,90.440002,89,89.559998,-0.31
02/08/1994,89.599998,90.239998,89.339996,89.910004,0.39
09/08/1994,89.870003,90.309998,88.730003,88.910004,-1.11
16/08/1994,88.970001,89.470001,87.440002,87.440002,-1.65
23/08/1994,87.489998,90.309998,87.410004,89.57,2.44
30/08/1994,89.620003,89.879997,88.349998,88.43,-1.27
06/09/1994,88.489998,88.959999,87.709999,87.849998,-0.66
13/09/1994,87.879997,88.18,87.139999,87.839996,-0.01
20/09/1994,87.879997,88.160004,87.379997,87.989998,0.17
27/09/1994,87.900002,88.370003,87.32,88.019997,0.03
04/10/1994,88.010002,88.059998,87.32,87.82,-0.23
11/10/1994,87.860001,88.059998,85.589996,85.779999,-2.32
18/10/1994,85.910004,86.050003,85.150002,85.32,-0.54
25/10/1994,85.169998,86.300003,84.910004,85.690002,0.43
01/11/1994,85.540001,86.980003,85.199997,86.480003,0.92
08/11/1994,86.410004,87.839996,85.910004,87.75,1.47
15/11/1994,87.739998,88.730003,87.589996,88.43,0.77
22/11/1994,88.290001,89.059998,88.089996,88.970001,0.61
29/11/1994,88.860001,89.669998,88.730003,89.389999,0.47
06/12/1994,89.330002,89.879997,89.059998,89.540001,0.17
13/12/1994,89.5,89.849998,89.370003,89.699997,0.18
20/12/1994,89.690002,90.18,89.489998,89.959999,0.29
27/12/1994,89.940002,90.089996,88.459999,88.730003,-1.37
03/01/1995,89.230003,89.629997,88.290001,88.410004,-0.36
10/01/1995,88.550003,88.779999,87.849998,88.019997,-0.44
17/01/1995,88.129997,88.540001,87.260002,87.379997,-0.73
24/01/1995,87.5,87.830002,86.949997,87.099998,-0.32
31/01/1995,87.110001,88.419998,87.040001,88.190002,1.25
07/02/1995,88.110001,88.489998,87.550003,87.779999,-0.46
14/02/1995,87.809998,87.959999,86.129997,86.43,-1.54
21/02/1995,86.160004,86.519997,85.690002,86.199997,-0.27
28/02/1995,86.169998,86.300003,83.120003,83.489998,-3.14
07/03/1995,83.550003,84.410004,81.239998,83.790001,0.36
14/03/1995,83.900002,84.190002,82.519997,83.75,-0.05
21/03/1995,83.690002,83.989998,83.169998,83.449997,-0.36
28/03/1995,83.370003,83.800003,81.470001,81.879997,-1.88
04/04/1995,81.709999,83.029999,81.209999,82.650002,0.94
11/04/1995,82.639999,82.849998,80.709999,80.839996,-2.19
18/04/1995,80.809998,82.150002,80.050003,81.610001,0.95
25/04/1995,81.550003,82.099998,80.599998,81.75,0.17
02/05/1995,81.739998,81.830002,80.550003,80.800003,-1.16
09/05/1995,80.709999,84.43,80.660004,83.709999,3.60
16/05/1995,83.559998,84.839996,83.290001,84.150002,0.53
23/05/1995,84.190002,84.580002,81,81.099998,-3.62
